category,word,example_sentence
Dolch,apple,I ate an apple.
Dolch,baby,The baby is sleeping.
Dolch,ball,Throw the ball.
Dolch,bear,The bear is big.
Dolch,bell,The bell rings.
Dolch,bird,The bird can fly.
Dolch,boat,The boat floats.
Dolch,book,I read a book.
Dolch,box,Put it in the box.
Dolch,boy,The boy runs fast.
Dolch,bread,I like bread.
Dolch,brother,My brother is tall.
Dolch,car,The car is blue.
Dolch,cat,The cat is soft.
Dolch,chair,Sit on the chair.
Dolch,chicken,The chicken is white.
Dolch,children,The children laugh.
Dolch,Christmas,Christmas is fun.
Dolch,coat,My coat is red.
Dolch,corn,I like corn.
Dolch,cow,The cow says moo.
Dolch,day,Today is a nice day.
Dolch,dog,The dog barks loud.
Dolch,doll,The doll is pretty.
Dolch,door,Close the door.
Dolch,duck,The duck swims.
Dolch,egg,The egg is small.
Dolch,eye,My eye can see.
Dolch,farm,The farm has cows.
Dolch,father,My father is kind.
Dolch,feet,My feet are wet.
Dolch,fire,The fire is warm.
Dolch,fish,I see a fish.
Dolch,flower,The flower is pink.
Dolch,friend,My friend is here.
Dolch,girl,The girl smiles.
Dolch,goodbye,Goodbye for now.
Dolch,grass,The grass is green.
Dolch,hand,Raise your hand.
Dolch,head,Touch your head.
Dolch,hill,We ran up the hill.
Dolch,home,I am going home.
Dolch,horses,The horses run fast.
Dolch,house,The house is big.
Dolch,kite,The kite flies high.
Dolch,leg,My leg hurts.
Dolch,letter,I wrote a letter.
Dolch,man,The man is strong.
Dolch,milk,I drink milk.
Dolch,money,Save your money.
Dolch,moon,The moon is bright.
Dolch,morning,Good morning everyone.
Dolch,mother,My mother cooks.
Dolch,name,What is your name?
Dolch,nest,The nest has eggs.
Dolch,night,Good night, sleep tight.
Dolch,party,We have a party.
Dolch,picture,Draw a picture.
Dolch,pig,The pig is pink.
Dolch,rabbit,The rabbit hops.
Dolch,rain,The rain is falling.
Dolch,ring,The ring is shiny.
Dolch,robin,A robin sings loud.
Dolch,santa,Santa brings gifts.
Dolch,snow,The snow is cold.
Dolch,song,I like this song.
Dolch,squirrel,The squirrel climbs.
Dolch,stick,Pick up the stick.
Dolch,street,The street is long.
Dolch,sun,The sun is hot.
Dolch,table,The table is brown.
Dolch,thing,That thing is soft.
Dolch,time,It is time to eat.
Dolch,toy,This toy is fun.
Dolch,tree,The tree is tall.
Dolch,watch,I wear a watch.
Dolch,water,Drink some water.
Dolch,way,Show me the way.
Dolch,wind,The wind blows hard.
Dolch,window,Look out the window.
Dolch,wood,The chair is made of wood.